# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
11.9            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
11.95           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
12              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
12.05           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
12.1            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525717e+00
12.15           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53526075e+00
12.2            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525872e+00
12.25           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525872e+00
12.3            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525872e+00
12.35           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525682e+00
12.4            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525719e+00
12.45           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525719e+00
12.5            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525719e+00
12.55           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525719e+00
12.6            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53526042e+00
12.65           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53525891e+00
